62||4
15||26
93||32
50||43
12||37
48||36
79||42
12||42
31||42
39||26
49||14
21||2
3||28
2||33
8||22
50||26
54||4
31||25
86||30
41||34
10||33
89||13
90||27
39||19
76||8
49||32
23||37
48||17
8||19
65||40
92||10
65||19
56||8
51||35
80||13
31||19
74||37
56||41
93||31
31||43
16||6
23||42
86||21
26||29
51||13
80||19
52||6
75||9
54||36
48||21
48||41
45||4
76||24
14||13
26||41
50||1
21||10
48||33
82||37
24||15
93||17
62||13
20||10
72||24
72||43
52||38
62||7
60||6
5||2
85||16
54||3
73||21
55||29
24||31
13||19
84||9
30||9
2||38
8||33
67||17
33||5
16||27
92||25
88||39
4||3
5||27
94||34
21||21
35||11
10||6
21||34
64||40
6||20
63||17
94||43
2||31
37||14
79||15
82||3
72||18
33||38
46||16
79||7
36||35
34||1
82||31
4||10
8||24
65||42
90||10
85||2
42||31
19||10
68||27
56||32
21||38
7||17
53||40
47||22
62||18
34||7
24||32
53||12
30||24
52||23
83||27
74||41
2||1
87||8
54||32
46||26
53||32
22||15
64||9
70||4
91||8
93||13
39||32
75||19
84||5
56||34
93||24
45||37
1||29
80||16
45||6
2||32
50||29
63||3
73||29
7||19
13||23
94||29
80||38
57||12
2||30
67||42
13||32
26||26
42||27
67||27
2||14
71||21
83||40
94||8
64||39
18||13
7||29
60||19
51||28
15||35
59||13
50||35
4||23
2||22
